source,id,title,is_active,study_level,category,domain,country,funding_type,deadline,budget_required,short_description,source_url,eligibility_summary
seed,seed-mst-002,Bourse du Gouvernement Canadien — HEC Montréal,true,master,bourse,commerce,canada,complete,2026-09-01,0,"Bourse d'exemption des frais majorés à HEC Montréal, permettant aux étudiants africains de payer les frais au tarif québécois, plus bourses de mérite disponibles.",https://www.hec.ca/etudiants/mon-programme/soutien-financier/bourses/,"Licence (Bac+3 minimum) en gestion, économie ou domaine connexe. Dossier d'excellence requis."
seed,seed-mst-003,Bourse Union Africaine — Santé & Médecine,true,master,bourse,sante,afrique,complete,,0,"Programme de bourses de l'Union Africaine pour les études de master en santé publique, médecine tropicale et épidémiologie dans des universités africaines d'excellence.",https://au.int/fr/scholarships,"Licence en médecine, pharmacie ou sciences de la santé. Ressortissant d'un État membre de l'UA."
seed,seed-mst-004,Bourse Erasmus Mundus — Europe (Sciences de l'Environnement),true,master,bourse,sciences_tech,europe,complete,2027-01-15,0,"Master conjoint Erasmus Mundus dispensé dans 3 universités européennes, avec bourse complète (allocation 1 400 €/mois + frais de scolarité + voyage).",https://www.eacea.ec.europa.eu/scholarships/erasmus-mundus-scholarship_fr,"Licence en sciences de l'environnement, génie civil ou ingénierie. Hors UE. B2 en anglais minimum."
seed,seed-mst-005,Programme MasterCard Foundation — Université de Toronto,true,master,bourse,commerce,canada,complete,2026-12-01,0,"Bourse intégrale de la Fondation MasterCard pour les jeunes leaders africains souhaitant un master à l'Université de Toronto, avec accompagnement en leadership.",https://mastercardfdn.org/all/scholars/,Ressortissant africain. Engagement fort envers le développement du continent. Dossier académique excellent.
seed,seed-mst-006,Graduate Programme Danone — Afrique francophone,true,master,emploi,commerce,afrique,complete,,0,"Programme de recrutement de jeunes diplômés (Master) pour des postes à responsabilité au sein des filiales Danone en Afrique francophone (Marketing, Finance, Supply Chain).",https://www.danone.com/careers,"Master en commerce, gestion ou ingénierie agroalimentaire. Mobilité géographique requise."
seed,seed-mst-007,Stage de Recherche — Institut Pasteur Dakar,true,master,stage,sante,afrique,complete,2026-08-01,0,"Stage de master (M1 ou M2) au sein des laboratoires de recherche de l'Institut Pasteur de Dakar, avec participation à des projets de santé publique.",https://www.pasteur.sn/fr/formation,"Master en biologie, microbiologie, épidémiologie ou santé publique. Lettre de motivation et CV scientifique requis."
seed,seed-mst-008,Bourse Orange Solidarité Numérique — Formation Tech,true,master,formation,sciences_tech,afrique,complete,,0,"Programme de financement de formations en intelligence artificielle, cybersécurité et data science pour les jeunes talents africains, en partenariat avec des écoles d'ingénieurs.",https://www.orange.com/fr/groupe/fondation,"Master 1 en informatique, mathématiques ou ingénierie. Projet professionnel lié au numérique en Afrique."
seed,seed-mst-011,Bourse Sciences Po Paris — Master Affaires Internationales,true,master,bourse,droit_sciences_po,france,complete,2027-02-01,0,"Bourse d'excellence de Sciences Po Paris pour les étudiants africains en master d'affaires internationales, droit européen ou politiques publiques.",https://www.sciencespo.fr/international/fr/content/bourses-et-aides-financieres.html,"Licence en droit, sciences politiques ou relations internationales. Moins de 30 ans. Dossier académique excellent (mention Très Bien)."
seed,seed-mst-009,Bourse Campus France Excellence — Master Ingénierie,true,master,bourse,sciences_tech,france,complete,2026-12-15,0,"Bourse d'excellence du gouvernement français pour les étudiants en master d'ingénierie dans les grandes écoles françaises (Centrale, Arts et Métiers, INSA…).",https://www.campusfrance.org/fr/bourses-du-gouvernement-francais,"Licence validée (sciences, ingénierie). Moins de 28 ans. Dossier Campus France obligatoire. Niveau B2 en français."
seed,seed-mst-010,NSF Graduate Research Fellowship — États-Unis,true,master,bourse,sciences_tech,usa,complete,2026-10-15,0,Programme de bourse de la National Science Foundation américaine finançant des masters et doctorats en STEM dans les meilleures universités des États-Unis.,https://www.nsfgrfp.org,"Licence en sciences, technologie, ingénierie ou mathématiques. Maîtrise de l'anglais (TOEFL 100+ ou IELTS 7.0). Ouvert aux étudiants internationaux."
seed,seed-doc-001,Bourse TWAS-UNESCO — Doctorat en Sciences,true,doctorat,bourse,sciences_tech,afrique,complete,2026-09-30,0,Programme TWAS (The World Academy of Science) finançant des doctorats complets dans des universités scientifiques d'excellence dans les pays du Sud.,https://twas.org/opportunity/twas-fellowships,"Master en sciences, technologie, ingénierie ou mathématiques (STEM). Ressortissant d'un pays en développement."
seed,seed-doc-002,Bourse Alexander von Humboldt — Allemagne,true,doctorat,bourse,sciences_tech,europe,complete,,0,"Bourse de la Fondation Humboldt pour des chercheurs post-doctorants ou doctorants de haut niveau, permettant de mener des recherches dans une université allemande de son choix.",https://www.humboldt-foundation.de/en/apply/sponsorship-programmes,Doctorat en cours ou obtenu depuis moins de 4 ans. Invitation d'un tuteur académique en Allemagne requise. B2 en allemand ou anglais.
seed,seed-doc-003,Bourse Gouvernement Chinois — CSC Scholarship,true,doctorat,bourse,sciences_tech,afrique,complete,2026-04-30,0,"Programme de bourses du Conseil chinois de l'État (CSC) pour des études de doctorat dans les meilleures universités chinoises (Tsinghua, PKU, Fudan…).",https://www.campuschina.org/scholarships/index.html,Master validé avec excellents résultats. Âge maximum 35 ans. HSK 4 (chinois) ou IELTS 6.0 (programme anglophone).
seed,seed-doc-004,Fellowship Doctorat — African Institute for Mathematical Sciences,true,doctorat,bourse,sciences_tech,afrique,complete,2026-08-15,0,"Programme de fellowship doctoral de l'AIMS (Cameroun, Sénégal, Rwanda…) en mathématiques appliquées, data science et intelligence artificielle.",https://nexteinstein.org/fellowships/,"Master en mathématiques, statistiques, informatique ou physique. Engagement dans la recherche africaine requis."
seed,seed-tous-001,Programme Coding Bootcamp — Formation Numérique Decod'Her,true,tous,formation,sciences_tech,afrique,complete,,0,"Bootcamp intensif de 6 mois en développement web, data science ou UX design, entièrement financé pour les jeunes africains motivés, avec placement en entreprise.",https://www.decodher.com,Tout niveau d'étude accepté. Motivation et projet professionnel dans le numérique requis. Sélection sur dossier et test de logique.
seed,seed-tous-002,UNDP Young Professionals Programme — Nations Unies,true,tous,emploi,droit_sciences_po,afrique,complete,2026-10-31,0,Programme d'entrée professionnelle au sein du PNUD (Programme des Nations Unies pour le Développement) pour les jeunes diplômés africains souhaitant travailler dans le développement international.,https://www.undp.org/careers/young-professionals-programme,Licence minimum (tout domaine). Moins de 32 ans. Excellente maîtrise du français et/ou anglais. Ressortissant d'un pays membre de l'ONU.
seed,seed-tous-003,Tony Elumelu Foundation Entrepreneurship Programme,true,tous,emploi,commerce,afrique,complete,2027-01-31,0,"Programme d'entrepreneuriat africain offrant 5 000 USD de financement non remboursable, 12 semaines de formation en ligne et un mentorat personnalisé pour lancer son entreprise.",https://www.tonyelumelufoundation.org/teep,Tout niveau d'étude. Projet entrepreneurial en Afrique. Moins de 35 ans. Ressortissant africain.
seed,seed-tous-004,Programme Emploi Digital AfriLabs — Côte d'Ivoire & Sénégal,true,tous,emploi,sciences_tech,afrique,complete,,0,Réseau de hubs technologiques africains offrant des opportunités d'emploi dans des startups tech et des formations rémunérées en développement de produits numériques.,https://www.afrilabs.com/community/,"Tout niveau d'étude. Compétences en tech, design ou gestion de projet. Résidence en Afrique francophone."
seed,seed-tous-005,Bourse Excellence HEC Paris — Commerce & Management,true,tous,bourse,commerce,france,complete,2027-01-20,0,"Programme de bourses d'excellence d'HEC Paris pour les étudiants africains en commerce, finance et entrepreneuriat. Allocation mensuelle et accès au réseau alumni.",https://www.hec.edu/fr/etudiants/financer-ses-etudes/bourses,Tout niveau (L3 min). Dossier académique excellent. Projet professionnel solide. Entretien en français et anglais.
seed,seed-tous-006,Bourse SFERE-Provence — Sciences Sociales & Humanités,true,tous,bourse,sciences_sociales,france,partial,2026-10-15,150000,"Bourse du groupement SFERE-Provence pour les études en sciences sociales, sociologie et anthropologie dans les universités d'Aix-Marseille et Avignon.",https://www.sfere-provence.org/bourses,Tout niveau. Projet de recherche ou d'études en sciences sociales. Accord bilatéral entre université d'origine et partenaire SFERE requis.
seed,seed-tous-007,Bourse Vanier Canada — Excellence Internationale,true,tous,bourse,sciences_tech,canada,complete,2026-11-01,0,"Programme de bourses du gouvernement canadien offrant 50 000 CAD/an aux meilleurs étudiants internationaux en sciences, santé et sciences humaines au Canada.",https://vanier.gc.ca/fr/home-accueil.html,Tout niveau. Leadership exceptionnel et excellence académique. Candidature via université canadienne hôte.
seed,seed-tous-008,Bourse CRDI — Recherche Santé Mondiale Canada-Afrique,true,tous,bourse,sante,canada,complete,2026-09-30,0,Bourse du Centre de Recherche pour le Développement International (CRDI) pour des études ou recherches en santé mondiale et épidémiologie dans une université canadienne.,https://www.idrc.ca/fr/bourses,Tout niveau (L3 min). Projet de recherche lié à la santé en Afrique. Ressortissant d'Afrique francophone.
seed,seed-tous-009,Open Society Foundations — Bourses Droit & Justice,true,tous,bourse,droit_sciences_po,usa,complete,2026-12-01,0,"Programme de bourses de la Open Society Foundations pour des études en droit, justice sociale et droits humains dans les meilleures universités américaines.",https://www.opensocietyfoundations.org/grants/international-scholarship-programs,Tout niveau. Engagement pour les droits humains et la démocratie. TOEFL 90+. Projet professionnel dans le secteur justice/droit.
seed,seed-tous-010,American Association of University Women — Bourse Arts & Lettres,true,tous,bourse,lettres_arts,usa,complete,2026-11-15,0,"Programme de bourses de l'AAUW pour les femmes internationales souhaitant étudier les arts, lettres, sciences humaines ou l'éducation dans une université américaine.",https://www.aauw.org/resources/programs/fellowships-grants/current-opportunities/international/,"Femmes (tout niveau). Projet d'études en arts, lettres ou éducation. TOEFL 79+. Nationalité hors USA."
seed,seed-tous-011,Bourse DAAD Sciences Sociales — Allemagne,true,tous,bourse,sciences_sociales,europe,complete,2026-10-31,0,"Programme de bourses DAAD pour des études en sociologie, anthropologie, développement international ou sciences politiques dans une université allemande.",https://www.daad.de/fr/trouver-des-bourses/,Tout niveau (L3 min). B2 en allemand ou C1 en anglais. Dossier académique solide. Moins de 35 ans.
seed,seed-tous-012,Bourse EU4Africa — Commerce & Développement Durable,true,tous,bourse,commerce,europe,complete,2026-12-15,0,Programme de l'Union Européenne finançant des études en commerce international et développement durable dans des universités partenaires en Europe.,https://ec.europa.eu/international-partnerships/funding/scholarships_fr,"Tout niveau. Ressortissant d'un pays ACP (Afrique, Caraïbes, Pacifique). B2 en français ou anglais."
seed,seed-tous-013,Fondation Africaine pour la Culture — Bourse Lettres & Arts,true,tous,bourse,lettres_arts,afrique,complete,2026-08-31,0,"Programme de bourses pour les jeunes artistes et écrivains africains souhaitant approfondir leurs études en littérature, arts plastiques ou musique dans une institution africaine.",https://www.fondationculture.africa/bourses,Tout niveau. Portfolio ou œuvres représentatives requis. Résidence en Afrique francophone. Projet culturel à impact social.
seed,seed-tous-014,Programme ROCARE — Bourses Recherche Droit & Gouvernance,true,tous,bourse,droit_sciences_po,afrique,partial,2026-09-15,100000,"Programme du Réseau Ouest et Centre Africain de Recherche en Éducation finançant des études et recherches en droit, gouvernance et politiques publiques en Afrique.",https://www.rocare.org/bourse,Tout niveau. Projet de recherche ou d'études en droit ou gouvernance. Lettre de motivation et CV requis.
seed,seed-tous-015,Formation IA & Data Science — CentraleSupélec France,true,tous,formation,sciences_tech,france,partial,2026-09-01,350000,"Programme de formation intensive en intelligence artificielle et data science à CentraleSupélec (Paris-Saclay), avec accès aux laboratoires de recherche et aux entreprises partenaires.",https://www.centralesupelec.fr/fr/formation-continue/data-ia,Tout niveau (L3 min en sciences). Bases en mathématiques et programmation. Dossier de candidature en ligne.
seed,seed-tous-016,Formation Santé Publique Internationale — EHESP France,true,tous,formation,sante,france,partial,2026-07-31,400000,"Formation en santé publique internationale à l'École des Hautes Études en Santé Publique de Rennes, avec modules spécialisés sur les systèmes de santé africains.",https://www.ehesp.fr/formation/,Tout niveau (L3 min en santé ou sciences). Professionnels de santé ou étudiants en médecine/pharmacie prioritaires.
seed,seed-tous-017,Formation Continue Commerce International — HEC Montréal,true,tous,formation,commerce,canada,partial,2026-10-01,500000,"Programme de formation continue en commerce international, supply chain et finance d'entreprise à HEC Montréal, avec certification reconnue mondialement.",https://www.hec.ca/formation-continue/,Tout niveau (L3 min en gestion ou commerce). Candidature en ligne. Visa étudiant ou travail au Canada requis.
seed,seed-tous-018,Formation Génie Informatique — Polytechnique Montréal,true,tous,formation,sciences_tech,canada,partial,2026-11-15,600000,"Programme de formation professionnelle en génie informatique, cybersécurité et développement logiciel à Polytechnique Montréal, avec stages en entreprise intégrés.",https://www.polymtl.ca/formation-continue/,Tout niveau (L2 min en informatique). Tests d'admission en math et programmation. Visa étudiant Canada requis.
seed,seed-tous-019,MIT OpenCourseWare Certificate Program — Sciences & Tech,true,tous,formation,sciences_tech,usa,complete,,0,"Programme de certification en ligne gratuit du MIT couvrant l'intelligence artificielle, la robotique, l'ingénierie et les mathématiques, avec accès aux cours des meilleurs professeurs du MIT.",https://ocw.mit.edu/,Tout niveau. Connexion internet requise. Langue d'enseignement : anglais. Certification optionnelle payante.
seed,seed-tous-020,Stanford Social Innovation Review — Formation Leadership,true,tous,formation,commerce,usa,partial,2027-03-01,200000,"Programme de formation en leadership social et entrepreneuriat d'impact proposé par Stanford University, avec bourses partielles disponibles pour les candidats africains.",https://ssir.org/,Tout niveau. Projet social ou entrepreneurial en cours. B2 en anglais. Lettre de motivation décrivant l'impact visé.
seed,seed-tous-021,Formation Développement Durable — Copenhagen Business School,true,tous,formation,sciences_sociales,europe,partial,2026-08-15,450000,"Programme de formation en développement durable, RSE et économie circulaire au Copenhagen Business School (Danemark), avec séminaires pratiques et cas d'entreprise.",https://www.cbs.dk/en/education/professional-programmes,Tout niveau. B2 en anglais minimum. Intérêt pour la durabilité et la gouvernance d'entreprise. Dossier de candidature.
seed,seed-tous-022,Formation Smart Cities & Urbanisme — KTH Stockholm,true,tous,formation,sciences_tech,europe,partial,2026-09-30,400000,"Programme de formation en villes intelligentes, mobilité urbaine et infrastructures durables au KTH Royal Institute of Technology de Stockholm (Suède).",https://www.kth.se/en/studies/professional,Tout niveau (L2 min en ingénierie ou architecture). B2 en anglais. Bourse partielle possible pour ressortissants africains.
seed,seed-tous-023,Formation Journalisme & Médias — CESTI Dakar,true,tous,formation,lettres_arts,afrique,partial,2026-07-01,150000,"Formation professionnelle en journalisme, presse écrite, radio et médias numériques au Centre d'Études des Sciences et Techniques de l'Information (CESTI) de Dakar.",https://www.ucad.sn/cesti,Tout niveau (Bac minimum). Tests d'aptitude à la communication écrite. Ouvert aux ressortissants d'Afrique francophone.
seed,seed-tous-024,Programme d'Échange INSA Lyon — Sciences de l'Ingénieur,true,tous,echange,sciences_tech,france,partial,2026-11-01,200000,"Semestre ou année d'échange à l'INSA Lyon pour les étudiants en génie civil, informatique, mécanique ou énergétique, avec accès aux laboratoires et aux projets industriels.",https://www.insa-lyon.fr/fr/international/etudiants-internationaux,Tout niveau (L2 min en sciences). Accord bilatéral ou candidature directe. B2 en français. Frais de scolarité différenciés.
seed,seed-tous-025,Semestre à Paris — Programme Campus France Mobilité,true,tous,echange,sciences_sociales,france,partial,2026-12-01,250000,"Programme de mobilité Campus France permettant un semestre dans une université parisienne (Paris 1, Paris 3, Paris 7…) en sciences humaines, lettres ou sciences sociales.",https://www.campusfrance.org/fr/etudiants-etrangers-en-france,Tout niveau. B2 en français minimum. Accord entre université d'origine et université française partenaire.
seed,seed-tous-026,Programme d'Échange McGill University — Commerce & Gestion,true,tous,echange,commerce,canada,partial,2026-10-15,300000,"Semestre ou année d'échange à la Desautels Faculty of Management de McGill University (Montréal), l'une des meilleures business schools du Canada.",https://www.mcgill.ca/desautels/international,Tout niveau (L2 min en gestion). Accord Desautels avec université partenaire. B2 en anglais ou français.
seed,seed-tous-027,Programme d'Échange Laval — Droit & Sciences Politiques,true,tous,echange,droit_sciences_po,canada,partial,2026-11-15,250000,"Échange universitaire à la Faculté de droit de l'Université Laval (Québec), avec spécialisations en droit civil, droit international et droit africain comparé.",https://www.fd.ulaval.ca/international/echanges,Tout niveau (L2 min en droit). B2 en français. Accord de mobilité entre universités partenaires.
seed,seed-tous-028,MIT International Science & Technology Initiative — Échange,true,tous,echange,sciences_tech,usa,partial,2026-10-01,500000,Programme d'échange et de recherche du MIT permettant à des étudiants internationaux de participer à des projets tech dans les laboratoires du Massachusetts Institute of Technology.,https://misti.mit.edu/,Tout niveau (L3 min en STEM). Excellente maîtrise de l'anglais. Dossier académique solide. Sélection compétitive.
seed,seed-tous-029,Fulbright Cultural Exchange — Arts & Humanités,true,tous,echange,lettres_arts,usa,complete,2026-10-31,0,"Programme d'échange culturel Fulbright pour les artistes, écrivains et chercheurs en humanités souhaitant passer un semestre dans une institution culturelle ou université américaine.",https://foreign.fulbrightonline.org/about/foreign-fulbright,Tout niveau. Portfolio artistique ou publications académiques requises. TOEFL 80+. Projet culturel ou de recherche défini.
seed,seed-tous-030,Erasmus+ Sciences Sociales & Développement — Europe,true,tous,echange,sciences_sociales,europe,partial,2026-11-30,150000,"Programme Erasmus+ International Credit Mobility permettant un semestre dans une université européenne en sciences sociales, travail social ou développement international.",https://erasmus-plus.ec.europa.eu/fr/opportunities/opportunities-for-individuals/students/international-credit-mobility,Tout niveau. Accord Erasmus entre université d'origine et partenaire européen. B2 en langue d'enseignement.
seed,seed-tous-031,Échange Médical Erasmus+ Santé — Universités Européennes,true,tous,echange,sante,europe,partial,2026-10-31,200000,"Programme Erasmus+ pour les étudiants en médecine, pharmacie ou sciences infirmières souhaitant effectuer un stage clinique ou un semestre académique dans une université médicale européenne.",https://www.ifmsa.org/erasmus-plus-health/,Tout niveau (L2 min en santé). Accord Erasmus bilatéral requis. B2 en langue d'enseignement. Adhésion à une association médicale étudiante recommandée.
seed,seed-tous-032,Programme PASET — Échange Tech Intra-Africain,true,tous,echange,sciences_tech,afrique,complete,2026-07-31,0,"Programme Partnership for Skills in Applied Sciences, Engineering and Technology (PASET) finançant des échanges entre universités africaines pour renforcer les compétences STEM sur le continent.",https://www.worldbank.org/en/programs/paset,Tout niveau. Ressortissant d'un pays africain subsaharien. Accord entre universités partenaires PASET requis.
seed,seed-tous-033,Mobilité Inter-Universitaire UEMOA — Commerce & Économie,true,tous,echange,commerce,afrique,partial,2026-09-01,80000,Programme de mobilité étudiante de l'Union Économique et Monétaire Ouest-Africaine permettant des échanges entre universités des 8 pays membres en économie et commerce.,https://www.uemoa.int/fr/programmes-mobilite,"Tout niveau. Ressortissant d'un État membre UEMOA (Bénin, Burkina, CI, Guinée-Bissau, Mali, Niger, Sénégal, Togo). Accord inter-universitaire requis."
seed,seed-tous-034,Stage Tech Startup — Station F Paris,true,tous,stage,sciences_tech,france,partial,,250000,"Stage de 3 à 6 mois au sein des startups résidentes du plus grand campus de startups du monde (Station F, Paris 13e), avec indemnité mensuelle et accès à l'écosystème tech parisien.",https://stationf.co/jobs,"Tout niveau. Compétences en développement, design ou growth hacking. Visa de travail ou étudiant en France requis."
seed,seed-tous-035,Stage Recherche Clinique — CHU Lyon France,true,tous,stage,sante,france,partial,2026-09-30,300000,"Stage de 4 à 6 mois dans les services de recherche clinique du CHU de Lyon, avec participation à des essais cliniques et des projets de médecine translationnelle.",https://www.chu-lyon.fr/emploi-stagiaires,"Tout niveau (L3 min en médecine, pharmacie ou biologie). Lettre de motivation et CV scientifique. Convention de stage obligatoire."
seed,seed-tous-036,Stage Finance & Analyse — Banque TD Montréal,true,tous,stage,commerce,canada,partial,2026-12-01,300000,"Stage de 4 mois au sein des équipes finance, analyse économique ou relation client de la Banque TD à Montréal, avec rémunération compétitive et possibilité d'offre d'emploi.",https://jobs.td.com/fr-CA/internship/,"Tout niveau (L2 min en finance, économie ou commerce). B2 en français ou anglais. Permis de travail au Canada recommandé."
seed,seed-tous-037,Stage Intelligence Artificielle — MILA Montréal,true,tous,stage,sciences_tech,canada,complete,2026-10-15,0,"Stage de recherche en intelligence artificielle et apprentissage machine au MILA (Institut québécois d'intelligence artificielle de Montréal), co-fondé par Yoshua Bengio.",https://mila.quebec/en/opportunities/,Tout niveau (M1 min en informatique ou mathématiques). Maîtrise de Python et de bibliothèques ML (PyTorch/TensorFlow). Dossier de recherche requis.
seed,seed-tous-038,Google Summer of Code — Open Source & Tech,true,tous,stage,sciences_tech,usa,complete,2027-04-01,0,"Programme annuel de Google finançant des contributions open source pendant 3 mois (3 000 à 6 600 USD), ouvert aux étudiants et développeurs du monde entier.",https://summerofcode.withgoogle.com/,Tout niveau. Compétences en développement logiciel. Maîtrise de l'anglais. Candidature en ligne avec proposition de projet.
